0.181818,0.600000,0.000000,0.041667
0.333333,0.800000,0.020408,0.041667
0.151515,0.866667,0.040816,0.000000
0.000000,0.466667,0.020408,0.041667
0.212121,0.733333,0.061224,0.041667
0.181818,0.800000,0.020408,0.083333
0.030303,0.000000,0.020408,0.083333
0.000000,0.600000,0.020408,0.041667
0.181818,0.800000,0.081633,0.208333
0.212121,1.000000,0.142857,0.125000
0.121212,0.466667,0.040816,0.083333
0.212121,1.000000,0.081633,0.041667
0.060606,0.600000,0.040816,0.041667
0.272727,0.933333,0.061224,0.041667
0.181818,0.666667,0.040816,0.041667
0.484848,0.733333,0.673469,0.625000
0.696970,0.533333,0.714286,0.583333
0.575758,0.000000,0.653061,0.500000
0.363636,0.466667,0.591837,0.500000
0.333333,0.133333,0.571429,0.500000
0.333333,0.200000,0.653061,0.458333
0.515152,0.466667,0.693878,0.541667
0.424242,0.200000,0.571429,0.458333
0.181818,0.000000,0.428571,0.375000
0.363636,0.266667,0.612245,0.500000
0.393939,0.466667,0.612245,0.458333
0.393939,0.400000,0.612245,0.500000
0.545455,0.400000,0.632653,0.500000
0.212121,0.133333,0.367347,0.416667
0.393939,0.333333,0.591837,0.500000
1.000000,0.466667,1.000000,0.916667
0.575758,0.733333,0.897959,0.958333
0.606061,0.533333,0.877551,0.708333
0.484848,0.466667,0.734694,0.708333
0.757576,0.533333,0.857143,0.833333
0.696970,0.533333,0.897959,0.958333
0.757576,0.533333,0.795918,0.916667
0.424242,0.266667,0.795918,0.750000
0.727273,0.600000,0.959184,0.916667
0.696970,0.666667,0.918367,1.000000
0.696970,0.466667,0.816327,0.916667
0.575758,0.133333,0.775510,0.750000
0.636364,0.466667,0.816327,0.791667
0.545455,0.733333,0.857143,0.916667
0.454545,0.466667,0.795918,0.708333
